;Rg;An;E;Tleaf
2019-06-28 00:00:00;0.0;-0.101434559850292;0.2165826106660899;14.42318948504178
2019-06-28 01:00:00;0.0;-0.09402127957989147;0.22438104191983355;13.208346765110091
2019-06-28 02:00:00;0.0;-0.09698971930654217;0.09367291721804114;13.73912254118484
2019-06-28 03:00:00;0.0;-0.0961534385637487;0.08772311812794409;13.60331004234232
2019-06-28 04:00:00;0.0;-0.0911143439626603;0.12833496610926584;12.760435570818656
2019-06-28 05:00:00;5.798430149591052;-0.030668758582777258;0.1626725060169272;13.755431114188763
2019-06-28 06:00:00;45.43353211736846;0.29187900810224904;1.1423210519219535;20.813464841804084
2019-06-28 07:00:00;93.53131925781943;0.5299255989902617;7.466816961443042;28.02386287996249
2019-06-28 08:00:00;127.94312270641304;0.6075534885327036;13.6208519791473;33.5908164206368
2019-06-28 09:00:00;151.9898381758262;0.6360964208706854;20.904558452246285;36.79563851635226
2019-06-28 10:00:00;191.67665777588508;0.6895600309731831;26.724136071326182;39.739980117269326
2019-06-28 11:00:00;182.07727049055202;0.4836524253484425;24.26862457103761;42.18113019716977
2019-06-28 12:00:00;205.33866935110356;0.44141761385618405;24.503587366045426;43.41225033775478
2019-06-28 13:00:00;262.33902725125387;0.33700949129378155;21.705472140129363;44.198722898577714
2019-06-28 14:00:00;314.9169243095282;0.20749462828638662;19.425318981462894;46.80252434551736
2019-06-28 15:00:00;341.60680578573493;0.19693653083531928;19.647361028766095;46.660982054081
2019-06-28 16:00:00;344.18584568570475;0.22970148262306694;20.55057351350181;45.337016198159716
2019-06-28 17:00:00;202.81555584433937;0.43140945267256176;25.23311735528283;42.659226211938844
2019-06-28 18:00:00;20.496631689577253;-0.12876395682311476;8.754621175191486;36.121739589952796
2019-06-28 19:00:00;24.087846853554215;0.07337772448359944;2.011423586677352;22.53986017921125
2019-06-28 20:00:00;2.852283972309729;-0.11916826825914476;1.0154241223775677;21.00277205978408
2019-06-28 21:00:00;0.0;-0.1500869664310936;0.9847735148075034;21.404258224041683
2019-06-28 22:00:00;0.0;-0.12380842838038437;0.4588252476142974;17.676794386741246
2019-06-28 23:00:00;0.0;-0.11983597636319733;0.6538706290529538;17.42705031321119
