;Rg;An;E;Tleaf
2019-06-28 00:00:00;0.0;-0.09913057081958407;0.19360042593075266;13.813733896472655
2019-06-28 01:00:00;0.0;-0.09172151644373705;0.1982566212867866;12.67870609699948
2019-06-28 02:00:00;0.0;-0.094478262651923;0.09079822306378141;13.00572647310312
2019-06-28 03:00:00;0.0;-0.09363911976468425;0.08542860412921982;12.89978927947244
2019-06-28 04:00:00;0.0;-0.08878881989091598;0.11472654881094693;12.286675745219089
2019-06-28 05:00:00;6.035092908845732;-0.026149021673599913;0.15139409576126306;13.721090621915984
2019-06-28 06:00:00;48.94300122131302;0.3207841352920206;1.357045988604558;21.833165564205743
2019-06-28 07:00:00;116.56559003581934;0.7425567450111736;10.777563636439416;28.13777338182435
2019-06-28 08:00:00;180.45748279639795;1.065674757541764;25.782131215527837;33.512665484595274
2019-06-28 09:00:00;195.75894324929848;1.1231058857379899;49.541335819307974;34.14700135950103
2019-06-28 10:00:00;185.31711999570499;0.9989809549085259;60.25906001333964;35.49333963106295
2019-06-28 11:00:00;213.1915076895639;0.9731745167481214;73.62520864610741;38.582693199037436
2019-06-28 12:00:00;194.01955422662508;0.9339646561278359;79.70616983398081;38.709308844216466
2019-06-28 13:00:00;211.3606596257391;0.9726823939312615;86.27728870603481;39.53712720803176
2019-06-28 14:00:00;223.30963714922294;0.9264279031250021;91.95234107291712;40.64042074277123
2019-06-28 15:00:00;214.27284180362773;0.8875518333733226;94.91388697289052;41.167913572770395
2019-06-28 16:00:00;211.6053039069717;0.9469986271473277;96.25969523175695;39.68892743137911
2019-06-28 17:00:00;141.9433247823823;0.6556465131509118;72.2275659861321;38.88576303475761
2019-06-28 18:00:00;21.334236824649363;-0.10615342027139459;14.808907588218899;34.060240755202535
2019-06-28 19:00:00;19.301339431949145;0.03455322166980114;2.1158300572446276;22.426476533446174
2019-06-28 20:00:00;2.9682091481825337;-0.11553232656317071;1.0197475694991651;20.348932242987523
2019-06-28 21:00:00;0.0;-0.1387530672951119;0.7292427018997917;18.92083556208779
2019-06-28 22:00:00;0.0;-0.1215549198453351;0.43098967957834927;17.137337992758717
2019-06-28 23:00:00;0.0;-0.11072974541003776;0.46397027847757094;15.253523719752847
