Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
belledenise1;0;1;1;F1;0;-4.495932655;10.48752053;73.88;0
belledenise1;0;1;1;F2;0;-7.226499405;12.51801437;67.87;0
belledenise1;0;1;1;F3;0;-0.415685807;9.650032824;61.21;0
belledenise1;0;1;1;F4;0;3.844708876;14.55095489;67.44;0
belledenise1;0;1;1;F5;0;5.713062955;11.15752698;74.32;0
belledenise1;0;1;1;1;13;6.26309264;-3.3461404;63.43;1.452837152
belledenise1;0;1;1;1;14;5.641007503;-2.537246042;78.75;1.436781032
belledenise1;0;1;1;p;0;8.851729886;3.443068479;82.16;0.195514642
belledenise1;0;1;1;F1;0;12.4779504;0.426874717;87.66;0
belledenise1;0;1;1;F2;0;17.76622707;3.326707432;83.79;0
belledenise1;0;1;1;F3;0;15.46012724;7.524671648;78;0
belledenise1;0;1;1;F4;0;8.255483235;8.740897273;76.77;0
belledenise1;0;1;1;F5;0;5.516906276;8.505108729;82.76;0
belledenise1;0;1;1;1;15;4.257700729;-2.582659369;86.11;1.416497144
belledenise1;0;1;1;p;0;-0.463544115;8.681214171;84.57;0.215642726
belledenise1;0;1;1;F1;0;-6.592602757;10.55661817;88.14;0
belledenise1;0;1;1;F2;0;-9.089318901;12.93310896;82.38;0
belledenise1;0;1;1;F3;0;-4.029067438;13.85177927;75.59;0
belledenise1;0;1;1;F4;0;4.606741648;13.64978562;81.69;0
belledenise1;0;1;1;F5;0;3.526903448;12.94839453;88.64;0
belledenise1;0;1;1;1;16;4.912966792;-4.190865322;92.57;1.389851109
belledenise1;0;1;1;p;0;9.480174025;-10.63498032;90.98;0.21608379
belledenise1;0;1;1;F1;0;5.940596119;-16.98725458;90.21;0
belledenise1;0;1;1;F2;0;8.610050579;-17.93134826;84.44;0
belledenise1;0;1;1;F3;0;15.56224679;-9.449699374;81.03;0
belledenise1;0;1;1;F4;0;16.81600561;-6.669305731;91.6;0
belledenise1;0;1;1;F5;0;10.88682459;-6.619182241;95.9;0
belledenise1;0;1;1;1;17;5.150519264;-3.596501105;106.04;1.360788214
belledenise1;0;1;1;p;0;1.287704861;7.72302472;103.93;0.212396515
belledenise1;0;1;1;F1;0;-5.264422155;12.17109526;104.9;0
belledenise1;0;1;1;F2;0;-8.931703718;12.94565703;97.45;0
belledenise1;0;1;1;F3;0;-2.385977925;11.25569436;92.04;0
belledenise1;0;1;1;F4;0;5.514868901;15.25683413;94.36;0
belledenise1;0;1;1;F5;0;5.94878271;14.97859177;103.58;0
belledenise1;0;1;1;1;18;2.953309664;-0.575032923;112.79;1.332354251
belledenise1;0;1;1;p;0;6.325088933;7.21551934;114.81;0.221715387
belledenise1;0;1;1;F1;0;-1.494701297;14.81172107;115.01;0
belledenise1;0;1;1;F2;0;-1.680508008;16.63558397;107.27;0
belledenise1;0;1;1;F3;0;6.494056594;14.95919094;103;0
belledenise1;0;1;1;F4;0;11.75447648;15.39574861;109.41;0
belledenise1;0;1;1;F5;0;9.158992264;11.71292881;116.77;0
belledenise1;0;1;1;1;19;2.232357017;-2.158297677;119.54;1.292106349
belledenise1;0;1;1;p;0;-0.300813532;-11.0069782;123.16;0.170584952
