Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
belledenise1;0;1;1;F1;0;-4.509500212;10.2617936;73.88;0
belledenise1;0;1;1;F2;0;-7.240066962;12.29228744;67.87;0
belledenise1;0;1;1;F3;0;-0.429253364;9.424305893;61.21;0
belledenise1;0;1;1;F4;0;3.831141319;14.32522796;67.44;0
belledenise1;0;1;1;F5;0;5.699495398;10.93180005;74.32;0
belledenise1;0;1;1;1;13;6.249525083;-3.571867331;63.43;1.452837152
belledenise1;0;1;1;1;14;5.627439946;-2.762972973;78.75;1.436781032
belledenise1;0;1;1;p;0;8.838162329;3.217341548;82.16;0.195514642
belledenise1;0;1;1;F1;0;12.46438284;0.201147786;87.66;0
belledenise1;0;1;1;F2;0;17.75265951;3.100980501;83.79;0
belledenise1;0;1;1;F3;0;15.44655968;7.298944717;78;0
belledenise1;0;1;1;F4;0;8.241915678;8.515170342;76.77;0
belledenise1;0;1;1;F5;0;5.503338719;8.279381798;82.76;0
belledenise1;0;1;1;1;15;4.244133172;-2.8083863;86.11;1.416497144
belledenise1;0;1;1;p;0;-0.477111672;8.45548724;84.57;0.215642726
belledenise1;0;1;1;F1;0;-6.606170314;10.33089124;88.14;0
belledenise1;0;1;1;F2;0;-9.102886458;12.70738203;82.38;0
belledenise1;0;1;1;F3;0;-4.042634995;13.62605234;75.59;0
belledenise1;0;1;1;F4;0;4.593174091;13.42405869;81.69;0
belledenise1;0;1;1;F5;0;3.513335891;12.7226676;88.64;0
belledenise1;0;1;1;1;16;4.899399235;-4.416592253;92.57;1.389851109
belledenise1;0;1;1;p;0;9.466606468;-10.86070725;90.98;0.21608379
belledenise1;0;1;1;F1;0;5.927028562;-17.21298151;90.21;0
belledenise1;0;1;1;F2;0;8.596483022;-18.15707519;84.44;0
belledenise1;0;1;1;F3;0;15.54867923;-9.675426305;81.03;0
belledenise1;0;1;1;F4;0;16.80243805;-6.895032662;91.6;0
belledenise1;0;1;1;F5;0;10.87325703;-6.844909172;95.9;0
belledenise1;0;1;1;1;17;5.136951707;-3.822228036;106.04;1.360788214
belledenise1;0;1;1;p;0;1.274137304;7.497297789;103.93;0.212396515
belledenise1;0;1;1;F1;0;-5.277989712;11.94536833;104.9;0
belledenise1;0;1;1;F2;0;-8.945271275;12.7199301;97.45;0
belledenise1;0;1;1;F3;0;-2.399545482;11.02996743;92.04;0
belledenise1;0;1;1;F4;0;5.501301344;15.0311072;94.36;0
belledenise1;0;1;1;F5;0;5.935215153;14.75286484;103.58;0
belledenise1;0;1;1;1;18;2.939742107;-0.800759854;112.79;1.332354251
belledenise1;0;1;1;p;0;6.311521376;6.989792409;114.81;0.221715387
belledenise1;0;1;1;F1;0;-1.508268854;14.58599414;115.01;0
belledenise1;0;1;1;F2;0;-1.694075565;16.40985704;107.27;0
belledenise1;0;1;1;F3;0;6.480489037;14.73346401;103;0
belledenise1;0;1;1;F4;0;11.74090892;15.17002168;109.41;0
belledenise1;0;1;1;F5;0;9.145424707;11.48720188;116.77;0
belledenise1;0;1;1;1;19;2.21878946;-2.384024608;119.54;1.292106349
belledenise1;0;1;1;p;0;-0.314381089;-11.23270513;123.16;0.170584952
belledenise1;0;1;1;F1;0;-2.37478816;-4.94875552;129.58;0
belledenise1;0;1;1;F2;0;-9.782150794;-5.744669342;125.05;0
belledenise1;0;1;1;F3;0;-10.90316106;-12.63909723;123.71;0
belledenise1;0;1;1;F4;0;-6.153787688;-15.37046184;114.4;0
belledenise1;0;1;1;F5;0;-1.201410665;-18.55579727;120.73;0
belledenise1;0;1;1;1;20;4.20173487;-4.005174663;129.23;1.256768362
belledenise1;0;1;1;p;0;-1.143068229;6.077819924;129.39;0.200934523
belledenise1;0;1;1;F1;0;-6.892200855;15.53350467;129.78;0
belledenise1;0;1;1;F2;0;-11.56990731;18.12972545;121.05;0
belledenise1;0;1;1;F3;0;-3.671802061;14.62629378;112.7;0
belledenise1;0;1;1;F4;0;4.37263876;16.80782349;120.33;0
belledenise1;0;1;1;F5;0;3.066669354;16.68354996;127.75;0
belledenise1;0;1;1;1;21;1.879645262;-1.447284936;134.1;1.22694928
belledenise1;0;1;1;p;0;-0.435218703;-11.9383242;139.26;0.227173591
belledenise1;0;1;1;F1;0;-7.072984105;-11.0208437;147.01;0
belledenise1;0;1;1;F2;0;-14.68547971;-13.28853212;139.58;0
belledenise1;0;1;1;F3;0;-11.9669407;-18.26005559;133.38;0
belledenise1;0;1;1;F4;0;-2.008893198;-22.97308965;138.04;0
belledenise1;0;1;1;F5;0;3.186117632;-15.84949067;139.31;0
belledenise1;0;1;1;1;22;4.855353803;-1.185638834;143.98;1.200401323
belledenise1;0;1;1;p;0;5.542499976;4.153455672;148.06;0.191333794
belledenise1;0;1;1;F1;0;-0.822978547;7.91467664;152.73;0
belledenise1;0;1;1;F2;0;-5.371601874;12.85026433;143.37;0
belledenise1;0;1;1;F3;0;-1.954265912;9.947504449;134.98;0
belledenise1;0;1;1;F4;0;2.494070583;18.7595872;136.98;0
belledenise1;0;1;1;F5;0;4.795502476;17.76018176;144.88;0
belledenise1;0;1;1;1;23;5.165279104;-2.624022061;153.77;1.164774218
belledenise1;0;1;1;p;0;9.480987253;-14.24502301;157.63;0.198923899
belledenise1;0;1;1;F1;0;-1.036806854;-14.80574319;159.68;0
belledenise1;0;1;1;F2;0;-1.495271617;-18.22770317;150.21;0
belledenise1;0;1;1;F3;0;11.38151396;-25.50188307;148.11;0
belledenise1;0;1;1;F4;0;19.69618692;-25.15272193;154.88;0
belledenise1;0;1;1;F5;0;18.92400134;-19.90823631;162.23;0
belledenise1;0;1;1;1;24;6.273048669;-2.209719527;166.28;1.122108394
belledenise1;0;1;1;p;0;-1.773299445;1.585814958;172.19;0.223038235
belledenise1;0;1;1;F1;0;-1.079788483;-2.53496683;176.39;0
belledenise1;0;1;1;F2;0;-12.51101491;-6.16621488;169.51;0
belledenise1;0;1;1;F3;0;-11.81912043;-2.96676461;163.32;0
belledenise1;0;1;1;F4;0;-14.5612021;5.368677079;166.2;0
belledenise1;0;1;1;F5;0;-8.428039767;9.036213018;173.44;0
belledenise2;0;1;1;0;0;-0.027135114;-20.45145386;24.67;1.874709238
belledenise2;0;1;1;1;0;-1.672329081;-20.69790225;25.44;1.842678208
belledenise2;0;1;1;1;1;-0.519381492;-21.03437195;27.02;1.835912468
belledenise2;0;1;1;p;0;1.448496291;-22.09966864;27.38;0.183287428
belledenise2;0;1;1;F1;0;2.859127952;-24.11089173;28.48;0
belledenise2;0;1;1;F2;0;4.190193497;-24.30184857;24.4;0
belledenise2;0;1;1;F3;0;5.624719918;-22.54884145;24.6;0
belledenise2;0;1;1;F4;0;4.308752646;-20.02124771;24.78;0
belledenise2;0;1;1;F5;0;3.050010212;-20.02946257;27.44;0
belledenise2;0;1;1;1;2;-2.424754231;-20.12461664;28.36;1.831849613
belledenise2;0;1;1;p;0;-3.981876406;-22.10690586;27.15;0.208292829
belledenise2;0;1;1;F1;0;-1.649151809;-22.65462472;28.4;0
belledenise2;0;1;1;F2;0;-1.399081913;-25.11036596;26.86;0
belledenise2;0;1;1;F3;0;-2.874032264;-24.44296693;23.62;0
belledenise2;0;1;1;F4;0;-5.286428199;-22.21710848;22.42;0
belledenise2;0;1;1;F5;0;-6.561891178;-21.05100635;24.7;0
belledenise2;0;1;1;1;3;-1.238650576;-20.34361007;29.78;1.763102955
belledenise2;0;1;1;p;0;0.869695168;-24.59982649;28.72;0.183590632
belledenise2;0;1;1;F1;0;3.927544886;-24.58098242;27.36;0
belledenise2;0;1;1;F2;0;1.621965378;-23.48166302;25.01;0
belledenise2;0;1;1;F3;0;-1.039063769;-23.51205844;24.19;0
belledenise2;0;1;1;F4;0;-1.627522231;-23.85075689;26.05;0
belledenise2;0;1;1;F5;0;-2.385147224;-24.59882398;29.42;0
belledenise2;0;1;1;1;4;-3.118821952;-19.60695846;32.06;1.741030517
belledenise2;0;1;1;p;0;-6.706407319;-21.42732414;34.13;0.194105591
belledenise2;0;1;1;F1;0;-5.049036455;-23.74057334;31.83;0
belledenise2;0;1;1;F2;0;-6.899258164;-25.31666966;29.97;0
belledenise2;0;1;1;F3;0;-10.72436536;-24.83890929;29.69;0
belledenise2;0;1;1;F4;0;-12.59828467;-21.35963833;32.51;0
belledenise2;0;1;1;F5;0;-10.21491625;-19.07682099;34.54;0
belledenise2;0;1;1;1;5;-2.722317049;-20.0448898;34.07;1.706049679
belledenise2;0;1;1;p;0;0.736074179;-24.51529583;33.88;0.211515627
belledenise2;0;1;1;F1;0;1.537911119;-21.07107495;33.39;0
belledenise2;0;1;1;F2;0;2.610580892;-21.49895292;29.35;0
belledenise2;0;1;1;F3;0;1.459335938;-23.61452259;28.6;0
belledenise2;0;1;1;F4;0;-0.840634412;-28.24390013;29.92;0
belledenise2;0;1;1;F5;0;-1.608863748;-28.10964781;33.8;0
belledenise2;0;1;1;1;6;-3.970294412;-18.81759501;36.49;1.663742048
belledenise2;0;1;1;p;0;-9.737111949;-20.89456768;39.4;0.215271869
belledenise2;0;1;1;F1;0;-5.793271597;-23.50924229;41.65;0
belledenise2;0;1;1;F2;0;-11.55363241;-26.36862043;40.35;0
belledenise2;0;1;1;F3;0;-14.75785584;-22.62029384;38.13;0
belledenise2;0;1;1;F4;0;-13.56940664;-16.82001036;37.61;0
belledenise2;0;1;1;F5;0;-9.098059388;-15.89175729;39.63;0
belledenise2;0;1;1;1;7;-3.711688193;-18.29642054;39.99;1.611310383
belledenise2;0;1;1;1;8;-5.805547928;-17.28239322;45.15;1.588859916
belledenise2;0;1;1;p;0;-6.506925734;-24.73789918;43.55;0.17704686
belledenise2;0;1;1;F1;0;-2.429408889;-25.46140204;45.6;0
belledenise2;0;1;1;F2;0;0.021107652;-25.61589697;39.59;0
belledenise2;0;1;1;F3;0;-5.405278157;-27.84087721;35.69;0
belledenise2;0;1;1;F4;0;-9.690156715;-26.84774291;38.09;0
belledenise2;0;1;1;F5;0;-10.74169238;-25.43414015;43.53;0
belledenise2;0;1;1;1;9;-5.121193051;-17.61429441;50.64;1.549844768
belledenise2;0;1;1;p;0;-1.277878913;-25.81194264;51;0.155706002
belledenise2;0;1;1;F1;0;2.972116085;-23.55372597;53.37;0
belledenise2;0;1;1;F2;0;3.828392354;-24.50703125;46.97;0
belledenise2;0;1;1;F3;0;-1.277748832;-26.58660385;42.36;0
belledenise2;0;1;1;F4;0;-1.933497078;-31.33188511;47.27;0
belledenise2;0;1;1;F5;0;-4.539103456;-27.77889828;52.93;0
belledenise2;0;1;1;1;10;-5.099272664;-17.46725872;51.42;1.541766409
belledenise2;0;1;1;p;0;-7.879578447;-27.49920767;51;0.191769783
belledenise2;0;1;1;F1;0;-3.629063123;-28.33963582;56.58;0
belledenise2;0;1;1;F2;0;-3.111361006;-33.28842199;51.7;0
belledenise2;0;1;1;F3;0;-6.760083522;-33.10559965;42.81;0
belledenise2;0;1;1;F4;0;-14.36779438;-30.81116389;46.52;0
belledenise2;0;1;1;F5;0;-12.74942984;-30.68993603;51.94;0
belledenise2;0;1;1;1;11;-5.028261943;-17.53837466;59.43;1.517071371
belledenise2;0;1;1;p;0;-0.047278289;-25.80089255;61.29;0.199676195
belledenise2;0;1;1;F1;0;4.540758961;-24.06710646;64.24;0
belledenise2;0;1;1;F2;0;7.093412411;-29.76813798;59.56;0
belledenise2;0;1;1;F3;0;4.507070993;-28.70449421;53.37;0
belledenise2;0;1;1;F4;0;-5.024372781;-32.24286666;56.32;0
belledenise2;0;1;1;F5;0;-5.227030118;-28.47002555;63.18;0
belledenise2;0;1;1;1;12;-4.386540672;-18.43452967;68.72;1.506595891
belledenise2;0;1;1;p;0;-1.206713252;-27.57450766;70.39;0.208713666
