Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
plantdec1;0;1;1;p;0;15.48850382;5.825267606;83.26;0.218876724
plantdec1;0;1;1;F1;0;11.55940952;5.627737948;81.87;0.0
plantdec1;0;1;1;F2;0;13.37633877;9.077921724;79.52;0.0
plantdec1;0;1;1;F3;0;15.71745285;7.775545109;77.62;0.0
plantdec1;0;1;1;F4;0;19.66511422;5.540266665;80.23;0.0
plantdec1;0;1;1;F5;0;18.54422027;6.273817448;85.36;0.0
plantdec1;0;1;1;1;12;12.08174232;4.182411533;82.08;1.433317845
plantdec1;0;1;1;p;0;8.823997444;8.947198868;79.32;0.175249232
plantdec1;0;1;1;F1;0;5.392370066;7.756428725;79.05;0.0
plantdec1;0;1;1;F2;0;5.686908544;10.34404289;75.01;0.0
plantdec1;0;1;1;F3;0;7.067704209;11.03823547;73.12;0.0
plantdec1;0;1;1;F4;0;12.65728032;10.91080332;75.4;0.0
plantdec1;0;1;1;F5;0;12.1251873;11.31906429;80.34;0.0
plantdec1;0;1;1;1;13;13.57784851;4.034877621;86.15;1.39956461
plantdec1;0;1;1;p;0;18.97406572;7.623977769;86.85;0.218379547
plantdec1;0;1;1;F1;0;21.80396654;6.250274253;88.57;0.0
plantdec1;0;1;1;F2;0;22.83998396;6.006208888;84.58;0.0
plantdec1;0;1;1;F3;0;21.23260066;8.755975958;81.69;0.0
plantdec1;0;1;1;F4;0;18.29609084;11.19927497;82.88;0.0
plantdec1;0;1;1;F5;0;16.42442306;10.68269029;86.86;0.0
plantdec1;0;1;1;1;14;12.45226513;5.15128348;88.22;1.387412625
plantdec1;0;1;1;p;0;13.45291646;11.31312549;84.14;0.202666727
plantdec1;0;1;1;F1;0;9.075441651;13.92291749;83.96;0.0
plantdec1;0;1;1;F2;0;8.69619598;11.57639395;79.68;0.0
plantdec1;0;1;1;F3;0;15.03841928;10.54164587;77.83;0.0
plantdec1;0;1;1;F4;0;17.53334475;11.56631503;79.04;0.0
plantdec1;0;1;1;F5;0;18.74694874;10.66333919;84.37;0.0
plantdec1;0;1;1;1;15;14.34094394;3.745939272;91.83;1.375722632
plantdec1;0;1;1;p;0;22.56102714;-0.540414905;90.78;0.160212966
plantdec1;0;1;1;F1;0;19.79866245;-6.109242547;91.64;0.0
plantdec1;0;1;1;F2;0;21.20848408;-6.654589197;86.21;0.0
plantdec1;0;1;1;F3;0;25.90335255;-2.998332904;84.96;0.0
plantdec1;0;1;1;F4;0;29.0313386;1.871051373;87.52;0.0
plantdec1;0;1;1;F5;0;23.7723031;4.333701482;91.4;0.0
plantdec1;0;1;1;1;16;13.87428169;5.614822989;97.46;1.36099215
plantdec1;0;1;1;p;0;16.42607511;15.34583272;95.89;0.210072159
plantdec1;0;1;1;F1;0;11.00283333;17.73751594;96.11;0.0
plantdec1;0;1;1;F2;0;14.59503624;20.19130449;89.91;0.0
plantdec1;0;1;1;F3;0;21.62571466;17.92431067;88.89;0.0
plantdec1;0;1;1;F4;0;23.9980041;18.72546159;91.79;0.0
plantdec1;0;1;1;F5;0;21.82963779;11.70330469;95.37;0.0
plantdec1;0;1;1;1;17;16.60973644;4.594927245;102.36;1.353436438
plantdec1;0;1;1;p;0;25.47862192;8.817647965;101.73;0.19688409
plantdec1;0;1;1;F1;0;30.17408239;6.881194748;107.16;0.0
plantdec1;0;1;1;F2;0;33.14192624;5.718137192;99.03;0.0
plantdec1;0;1;1;F3;0;28.93407783;9.896918325;94.05;0.0
plantdec1;0;1;1;F4;0;28.76093804;15.84378495;95.84;0.0
plantdec1;0;1;1;F5;0;21.54513555;15.65327412;99.96;0.0
plantdec1;0;1;1;1;18;14.28861879;5.501576501;108.82;1.303125364
plantdec1;0;1;1;p;0;13.5178819;15.81849778;108.63;0.174308013
plantdec1;0;1;1;F1;0;6.405820366;19.35599417;111.85;0.0
plantdec1;0;1;1;F2;0;5.117046724;18.9110644;104.24;0.0
plantdec1;0;1;1;F3;0;10.4992476;17.07653075;100.56;0.0
plantdec1;0;1;1;F4;0;20.17260809;19.95637398;102.55;0.0
plantdec1;0;1;1;F5;0;20.50661009;21.34793521;112.74;0.0
plantdec1;0;1;1;1;19;16.29854694;4.582234967;117.59;1.278034168
plantdec1;0;1;1;p;0;22.33149815;13.12356389;118.21;0.208358831
plantdec1;0;1;1;F1;0;26.17929332;9.744070978;122.33;0.0
plantdec1;0;1;1;F2;0;30.40654617;10.76227199;115.31;0.0
plantdec1;0;1;1;F3;0;24.57802883;14.14806372;107.25;0.0
plantdec1;0;1;1;F4;0;19.58871927;22.52487039;111.95;0.0
plantdec1;0;1;1;F5;0;15.06102114;19.31599993;119.09;0.0
plantdec1;0;1;1;1;20;14.21573586;5.523668986;125.9;1.273580266
plantdec1;0;1;1;p;0;9.964962515;11.84215978;127.53;0.189142235
plantdec1;0;1;1;F1;0;9.576931334;14.11529238;120.31;0.0
plantdec1;0;1;1;F2;0;16.75883842;15.601701;123.46;0.0
plantdec1;0;1;1;F3;0;18.43250984;13.64547403;128.95;0.0
plantdec1;0;1;1;F4;0;17.03657651;12.71575895;132.71;0.0
plantdec1;0;1;1;F5;0;10.16131749;10.2267203;132.26;0.0
