Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
belledenise1;0;1;1;p;0;-198.8068543;7.34878073;70.39;0.208713666
belledenise1;0;1;1;F1;0;-204.4959327;10.48752053;73.88;0
belledenise1;0;1;1;F2;0;-207.2264994;12.51801437;67.87;0
belledenise1;0;1;1;F3;0;-200.4156858;9.650032824;61.21;0
belledenise1;0;1;1;F4;0;-196.1552911;14.55095489;67.44;0
belledenise1;0;1;1;F5;0;-194.286937;11.15752698;74.32;0
belledenise1;0;1;1;1;13;-193.7369074;-3.3461404;63.43;1.452837152
belledenise1;0;1;1;1;14;-194.3589925;-2.537246042;78.75;1.436781032
belledenise1;0;1;1;p;0;-191.1482701;3.443068479;82.16;0.195514642
belledenise1;0;1;1;F1;0;-187.5220496;0.426874717;87.66;0
belledenise1;0;1;1;F2;0;-182.2337729;3.326707432;83.79;0
belledenise1;0;1;1;F3;0;-184.5398728;7.524671648;78;0
belledenise1;0;1;1;F4;0;-191.7445168;8.740897273;76.77;0
belledenise1;0;1;1;F5;0;-194.4830937;8.505108729;82.76;0
belledenise1;0;1;1;1;15;-195.7422993;-2.582659369;86.11;1.416497144
belledenise1;0;1;1;p;0;-200.4635441;8.681214171;84.57;0.215642726
belledenise1;0;1;1;F1;0;-206.5926028;10.55661817;88.14;0
belledenise1;0;1;1;F2;0;-209.0893189;12.93310896;82.38;0
belledenise1;0;1;1;F3;0;-204.0290674;13.85177927;75.59;0
belledenise1;0;1;1;F4;0;-195.3932584;13.64978562;81.69;0
belledenise1;0;1;1;F5;0;-196.4730966;12.94839453;88.64;0
belledenise1;0;1;1;1;16;-195.0870332;-4.190865322;92.57;1.389851109
belledenise1;0;1;1;p;0;-190.519826;-10.63498032;90.98;0.21608379
belledenise1;0;1;1;F1;0;-194.0594039;-16.98725458;90.21;0
belledenise1;0;1;1;F2;0;-191.3899494;-17.93134826;84.44;0
belledenise1;0;1;1;F3;0;-184.4377532;-9.449699374;81.03;0
belledenise1;0;1;1;F4;0;-183.1839944;-6.669305731;91.6;0
belledenise1;0;1;1;F5;0;-189.1131754;-6.619182241;95.9;0
belledenise1;0;1;1;1;17;-194.8494807;-3.596501105;106.04;1.360788214
