;Rg;An;E;Tleaf
2019-06-28 00:00:00;0.0;-0.113924524033861;0.20919323256627936;15.01341482734017
2019-06-28 01:00:00;0.0;-0.10624968220137247;0.21861283078106886;13.865456633398377
2019-06-28 02:00:00;0.0;-0.10910291039854515;0.11287763326739564;14.340921983860216
2019-06-28 03:00:00;0.0;-0.10832632754352063;0.10727768603696634;14.21940220248355
2019-06-28 04:00:00;0.0;-0.10311846279212686;0.13807776520098577;13.392744255976599
2019-06-28 05:00:00;6.12091687885394;-0.03875722952870276;0.15430341927279692;14.254753158106308
2019-06-28 06:00:00;50.39181553716396;0.334090272248188;0.9550700846217501;20.81423765076088
2019-06-28 07:00:00;116.86387435440587;0.6657411109147546;8.132591215251006;28.36444517812746
2019-06-28 08:00:00;156.22254994031744;0.7355804360486423;14.699712119566124;33.49468165399156
2019-06-28 09:00:00;179.13005170371042;0.7383919272817715;22.5670460386564;35.77920562280494
2019-06-28 10:00:00;173.37151310154795;0.5843556577515786;24.36167089768689;38.08660281269941
2019-06-28 11:00:00;215.55538621492752;0.6030659518432209;28.53159907047739;41.12106260243682
2019-06-28 12:00:00;291.7188664305699;0.6568952772794621;32.03725505652702;42.72974966478434
2019-06-28 13:00:00;317.74269628764716;0.5624683946705459;29.68509473627597;43.283405466352434
2019-06-28 14:00:00;329.83470447631225;0.3768907041690336;25.653292153145028;45.69184764005342
2019-06-28 15:00:00;340.4195859773906;0.3496634344047887;25.7608033724997;45.925289846570436
2019-06-28 16:00:00;320.06090238075734;0.38102481722018644;26.809864393011544;44.431079360434126
2019-06-28 17:00:00;176.92223758945474;0.4709693488160289;28.206751046228216;42.04960941937891
2019-06-28 18:00:00;21.638609020020244;-0.16289948265158705;9.646709865567793;35.55992284947857
2019-06-28 19:00:00;22.810493545574378;0.061626370268479946;1.817117913455184;22.933611793194665
2019-06-28 20:00:00;3.0103247310515733;-0.13183256863914786;0.9877494650294375;21.699542194927425
2019-06-28 21:00:00;0.0;-0.16511971021935118;0.9662169390883016;21.576259313135832
2019-06-28 22:00:00;0.0;-0.1376034452597833;0.4349932439051067;18.427820723905675
2019-06-28 23:00:00;0.0;-0.13338924172263078;0.6432716928787626;17.70021157039629
