;Rg;An;E;Tleaf
2019-06-28 00:00:00;0.0;-0.07305588194814468;0.20691820546867254;15.225227190005363
2019-06-28 01:00:00;0.0;-0.0678046145368216;0.21045803033922988;14.129630526402613
2019-06-28 02:00:00;0.0;-0.06996681252704762;0.09883047629847697;14.54922973444787
2019-06-28 03:00:00;0.0;-0.06936694527383332;0.09323936529600661;14.431987154965768
2019-06-28 04:00:00;0.0;-0.06569369299140754;0.1361417873944311;13.7404263102762
2019-06-28 05:00:00;4.89332088776208;-0.01478531302309438;0.19653242842891605;14.705281594590545
2019-06-28 06:00:00;42.92394160714087;0.2889390543387038;1.396653286969043;23.44322669216109
2019-06-28 07:00:00;126.5545165521418;0.7868388995138693;12.450398318643051;29.86171952433746
2019-06-28 08:00:00;166.4982906393248;0.9202581659942055;23.54927585461894;34.13008321668043
2019-06-28 09:00:00;168.97499211899836;0.8965270448224663;38.01647724140432;35.67443587006734
2019-06-28 10:00:00;148.4010690125472;0.7321680171251498;42.25639411180873;37.46362279464732
2019-06-28 11:00:00;152.07134386413478;0.6704673958248007;48.09685172638417;40.267596080298325
2019-06-28 12:00:00;147.21059567848283;0.6236835994040087;49.08458436976198;41.513663686792384
2019-06-28 13:00:00;146.31281405869504;0.5594263740066019;47.20755185141762;42.3724766333696
2019-06-28 14:00:00;135.94993591544315;0.3857108753826877;39.40890201390344;44.28004060543731
2019-06-28 15:00:00;135.51784495356972;0.3547447598465432;39.63981414997154;44.30284847262742
2019-06-28 16:00:00;117.41044445824538;0.35719526213048014;40.61232011431438;43.16983088555701
2019-06-28 17:00:00;98.118598714041;0.36948120023327374;39.11067462333778;41.133466523341774
2019-06-28 18:00:00;17.298272894479137;-0.05985304948078033;9.916299971039393;35.61619646478023
2019-06-28 19:00:00;19.48974315113096;0.07462381853161634;1.9150181313936983;23.438730209515782
2019-06-28 20:00:00;2.406976115693642;-0.08231310588567889;0.8547862199997291;21.797454455780255
2019-06-28 21:00:00;0.0;-0.10706748154738367;0.758963173917286;21.752109050627986
2019-06-28 22:00:00;0.0;-0.08921078796302631;0.38964180994402087;18.53327898621434
2019-06-28 23:00:00;0.0;-0.08550799852642892;0.5141231960596164;17.950041305363914
