time;Tac;hs;u;Rg;Tsoil;
2019-01-05 13:00;10.99;33.57;0.071;356.1111111;30.99;
2019-01-05 14:00;12.06;31.04;0.288;405.5555556;32.06;
2019-01-05 15:00;13.67;31.98;0.107;383.3333333;33.67;
2019-01-05 16:00;13.79;30.29;0.113;318.3333333;33.79;
2019-01-05 17:00;13.32;29.27;0.031;214.4444444;28.32;
2019-01-05 18:00;11.98;34.63;0.404;90.13888889;17.98;
2019-01-05 19:00;10.38;37.36;0.509;4.813888889;15.38;
2019-01-05 20:00;9.24;39.88;0.18;0;13.24;
2019-01-05 21:00;7.15;47.82;0.117;0;10.15;
2019-01-05 22:00;6.548;48.31;0.287;0;9.548;
2019-01-05 23:00;5.734;48.38;0.591;0;8.734;
2019-01-06 00:00;3.911;52.94;0.001;0;6.911;
2019-01-06 01:00;4.731;49.14;0.088;0;7.731;
2019-01-06 02:00;3.577;53.62;0.048;0;6.577;
2019-01-06 03:00;2.491;58.99;0;0;5.491;
2019-01-06 04:00;3.184;59.55;0.002;0;6.184;
2019-01-06 05:00;2.166;65.25;0;0;5.166;
2019-01-06 06:00;0.265;69.87;0;0;3.265;
2019-01-06 07:00;0.404;66.89;0;0;3.404;
2019-01-06 08:00;0.889;68.8;0;0;3.889;
2019-01-06 09:00;2.043;65.68;0.008;0;5.043;
2019-01-06 10:00;3.051;62.34;0.019;9.780555556;13.051;
2019-01-06 11:00;6.642;48.34;0.255;84.27777778;21.642;
2019-01-06 12:00;8.18;46.62;0.211;287.7777778;28.18;
2019-01-06 13:00;9.84;38.04;0.25;385;29.84;
2019-01-06 14:00;11.59;33.42;0.409;424.4444444;31.59;
2019-01-06 15:00;12.59;30.84;0.536;408.8888889;32.59;
2019-01-06 16:00;12.79;30.83;0.563;338.3333333;32.79;
2019-01-06 17:00;12.92;26.43;0.486;213.3333333;27.92;
2019-01-06 18:00;10.77;33.42;0.113;68.05555556;16.77;
2019-01-06 19:00;8.35;35.94;0.035;1.213888889;13.35;
2019-01-06 20:00;6.273;44.44;0.043;0;10.273;
2019-01-06 21:00;4.173;50.01;0.088;0;7.173;
2019-01-06 22:00;3.576;55.05;0.013;0;6.576;
2019-01-06 23:00;2.298;62.67;0;0;5.298;
2019-01-07 00:00;1.487;65.32;0.006;0;4.487;
2019-01-07 01:00;1.351;65.12;0;0;4.351;
2019-01-07 02:00;0.675;62.61;0.001;0;3.675;
2019-01-07 03:00;0.346;68.06;0;0;3.346;
2019-01-07 04:00;-0.265;71.2;0;0;2.735;
2019-01-07 05:00;-0.672;71.3;0.001;0;2.328;
2019-01-07 06:00;-1.352;70.1;0.001;0;1.648;
2019-01-07 07:00;-0.469;66.5;0.02;0;2.531;
2019-01-07 08:00;-1.148;70.4;0;0;1.852;
2019-01-07 09:00;-1.555;74.2;0;0;1.445;
2019-01-07 10:00;-0.74;75.8;0;11.15555556;9.26;
2019-01-07 11:00;3.401;62.49;0;86.55555556;18.401;
2019-01-07 12:00;7.24;46.43;0.002;276.6666667;27.24;
2019-01-07 13:00;8.57;41.51;0.064;377.2222222;28.57;
2019-01-07 14:00;9.83;37.77;0.247;420.2777778;29.83;
2019-01-07 15:00;10.63;36.46;0.475;404.1666667;30.63;
2019-01-07 16:00;11.24;34.7;0.348;332.2222222;31.24;
2019-01-07 17:00;10.49;37.48;0.375;216.3888889;25.49;
2019-01-07 18:00;8.54;41.35;0.382;72.5;14.54;
2019-01-07 19:00;6.597;47.34;0.145;1.677777778;11.597;
2019-01-07 20:00;5.258;50.75;0.015;0;9.258;
2019-01-07 21:00;3.778;53.69;0.012;0;6.778;
