;Rg;An;E;Tleaf
2019-06-28 00:00:00;0.0;-0.11149718027313175;0.2091932342393159;15.013414826161105
2019-06-28 01:00:00;0.0;-0.1040023215194312;0.21861283236144236;13.865456632364697
2019-06-28 02:00:00;0.0;-0.10678446947926741;0.11287763411428746;14.340921983635255
2019-06-28 03:00:00;0.0;-0.10602791415922923;0.10727768683025943;14.219402202275923
2019-06-28 04:00:00;0.0;-0.10094220145978897;0.1380777661863833;13.392744255502155
2019-06-28 05:00:00;6.109230909735035;-0.03669410958212884;0.15815825194417;14.205241201150514
2019-06-28 06:00:00;50.172394483838964;0.3420039058574822;1.0114287139325093;20.608595209234846
2019-06-28 07:00:00;136.39735780070436;0.8782483214568182;10.00240933949004;27.44096735823352
2019-06-28 08:00:00;207.78313423452647;1.203536484512727;23.884570467893557;33.814248659304425
2019-06-28 09:00:00;210.34425923062216;1.1839115888437335;42.18222179654452;34.558364204000014
2019-06-28 10:00:00;195.31143241855486;0.7536456537426894;41.839903851854025;37.864978352927324
2019-06-28 11:00:00;161.1193128200161;0.29408197260011043;26.608429710776658;40.3085349991879
2019-06-28 12:00:00;155.16148556168704;0.21908607605296276;24.050156242002515;41.61847530003874
2019-06-28 13:00:00;185.7716380048562;0.13055102341175898;20.159885762581634;42.51465832874677
2019-06-28 14:00:00;211.84889828656654;0.076131316315531;18.737908253324328;44.47008216062093
2019-06-28 15:00:00;222.9612204195877;0.07032470268760688;19.25704497369445;44.956174507751165
2019-06-28 16:00:00;206.0165338261652;0.08929772349425909;20.24628559361492;43.57933666905086
2019-06-28 17:00:00;132.33961514080247;0.1905267118977113;24.168945036833495;41.23757525128985
2019-06-28 18:00:00;21.597260603383347;-0.01545130456061228;12.908560333238302;34.1554534281478
2019-06-28 19:00:00;22.29605111456566;0.07606921009791108;1.9789899485212203;22.762749345517115
2019-06-28 20:00:00;3.0048159049286447;-0.12122190477797813;1.0166863683779217;21.684428214953208
2019-06-28 21:00:00;0.0;-0.14669464754971145;0.7170076247265065;20.14802750387752
2019-06-28 22:00:00;0.0;-0.13220420464163474;0.4349932477880912;18.42782072037719
2019-06-28 23:00:00;0.0;-0.12156708379220361;0.46704547892723536;16.394446658832216
