;Rg;An;E;Tleaf
2019-06-28 00:00:00;0.0;-0.0730558819462694;0.20691820583688267;15.22522718969507
2019-06-28 01:00:00;0.0;-0.06780461453514898;0.21045803068513425;14.129630526172063
2019-06-28 02:00:00;0.0;-0.06996681252624956;0.09883047645379472;14.549229734374286
2019-06-28 03:00:00;0.0;-0.06936694527310165;0.0932393654392356;14.431987154920474
2019-06-28 04:00:00;0.0;-0.06569369299047347;0.13614178758705248;13.740426310162434
2019-06-28 05:00:00;4.89332088776208;-0.01477805897863302;0.19797928342664814;14.7041075227183
2019-06-28 06:00:00;42.92394160714087;0.2906517788577432;1.4212735400304979;23.426298267799005
2019-06-28 07:00:00;126.5545165521418;0.8087016452208953;13.14766240023319;29.59749095950758
2019-06-28 08:00:00;166.4982906393248;0.9644565426567093;25.64425943702567;33.60587521969835
2019-06-28 09:00:00;168.97499211899836;0.9500189139638261;44.56606315117618;34.82400742099802
2019-06-28 10:00:00;148.4010690125472;0.7924141014649289;52.72083898601545;36.45468279148365
2019-06-28 11:00:00;152.07134386413478;0.7654033859046402;64.62685139368996;38.749211416362186
2019-06-28 12:00:00;147.21059567848283;0.7232793982386291;68.39700908071666;40.151422815299085
2019-06-28 13:00:00;146.31281405869504;0.6883411221911948;70.29718801566662;41.11117587833526
2019-06-28 14:00:00;135.94993591544315;0.5197250152565454;65.15583754085395;43.115464761426765
2019-06-28 15:00:00;135.51784495356972;0.5163111158435771;67.97341479551726;43.178291154497984
2019-06-28 16:00:00;117.41044445824538;0.5189632178189649;67.6367390235617;41.31509170575555
2019-06-28 17:00:00;98.118598714041;0.4391210985624437;56.474464989200726;39.77961280306995
2019-06-28 18:00:00;17.298272894479137;-0.057265095517636436;12.356167941697182;35.335171839523085
2019-06-28 19:00:00;19.48974315113096;0.07573523650060285;1.9946454313905928;23.36781821588145
2019-06-28 20:00:00;2.406976115693642;-0.0822367240098136;0.8677035545064731;21.783854584843205
2019-06-28 21:00:00;0.0;-0.10706748153122869;0.7589631768373597;21.75210904792136
2019-06-28 22:00:00;0.0;-0.0892107879571215;0.38964181096384815;18.53327898524745
2019-06-28 23:00:00;0.0;-0.08550799851926187;0.5141231975646778;17.95004130397951
