;Rg;An;E;Tleaf
2019-06-28 00:00:00;0.0;-0.1144808399997616;0.2029049911193997;15.116464425066203
2019-06-28 01:00:00;0.0;-0.106883153641847;0.21258531359213376;13.96420029846368
2019-06-28 02:00:00;0.0;-0.10974053716342233;0.10779626647171456;14.43954591608425
2019-06-28 03:00:00;0.0;-0.1087469523734398;0.102376897127978;14.303592810998527
2019-06-28 04:00:00;0.0;-0.10362321856255553;0.1326049295855103;13.484279519219331
2019-06-28 05:00:00;6.12091687885394;-0.039294374141755094;0.15145782335543784;14.344333856862109
2019-06-28 06:00:00;50.39181553716396;0.33819116396425547;1.0054594200337026;20.8386817247422
2019-06-28 07:00:00;116.86387435440587;0.7300259997371985;10.385791679152037;27.827948637035078
2019-06-28 08:00:00;156.22254994031744;0.8598099003527189;21.37994451708207;32.47465333862114
2019-06-28 09:00:00;179.13005170371042;0.9124302292786157;40.41140318703689;35.68263480514064
2019-06-28 10:00:00;173.37151310154795;0.5154221671557514;35.24651679357674;39.9062785265546
2019-06-28 11:00:00;215.55538621492752;0.10812871608420287;19.162957048927755;42.93795962901186
2019-06-28 12:00:00;291.7188664305699;0.07101050499292785;18.768493111996545;44.6800279943292
2019-06-28 13:00:00;317.74269628764716;0.06476624891716344;18.563389142245352;45.71921497991311
2019-06-28 14:00:00;329.83470447631225;0.046829122320480254;19.09976627671127;47.62757705820977
2019-06-28 15:00:00;340.4195859773906;0.04701186762541391;19.723538768188828;47.495172673305774
2019-06-28 16:00:00;320.06090238075734;0.05966651606981126;20.16839000338567;45.308700437239956
2019-06-28 17:00:00;176.92223758945474;0.14519463292963938;22.885282737142436;42.54937287446482
2019-06-28 18:00:00;21.638609020020244;0.001108393219810216;14.056131554967623;35.574627091715655
2019-06-28 19:00:00;22.810493545574378;0.0758705167416263;1.9868183571982854;22.868597896853217
2019-06-28 20:00:00;3.0103247310515733;-0.12507670389539918;1.0120613196405315;21.78304198589717
2019-06-28 21:00:00;0.0;-0.15985664797032528;0.9627517048076235;21.69022248901033
2019-06-28 22:00:00;0.0;-0.13567695605859909;0.4284825332606898;18.527779814653588
2019-06-28 23:00:00;0.0;-0.1324186430000525;0.6387688556327848;17.817674562669353
